                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3847,                0.85554,                 1.0073,                0.81389,                  0.669,                0.77488,                0.46214,                 1.3391,                0.94719,                 1.0552,                0.00036,                0.00036,                0.00036
                      2,                 1.3249,                0.88144,                 1.0132,                0.69899,                 0.7091,                0.77087,                0.49963,                 1.1969,                0.82195,                0.98665,             0.00072535,             0.00072535,             0.00072535
                      3,                 1.3832,                0.86655,                 1.0137,                0.82427,                0.68882,                0.80455,                0.49786,                  1.239,                0.82584,                0.99481,              0.0010756,              0.0010756,              0.0010756
                      4,                 1.3726,                0.87539,                 1.0149,                0.81308,                0.70746,                0.79864,                0.50251,                 1.2293,                0.81544,                0.96966,              0.0014109,              0.0014109,              0.0014109
                      5,                 1.3862,                0.87846,                 1.0189,                 0.7258,                0.69106,                0.75905,                0.47337,                 1.2298,                0.84336,                0.97342,              0.0017311,              0.0017311,              0.0017311
                      6,                 1.4216,                0.85572,                 1.0136,                0.78976,                 0.7005,                0.79352,                 0.4819,                 1.3044,                0.81801,                0.99933,               0.001802,               0.001802,               0.001802
                      7,                 1.4659,                0.90341,                 1.0165,                0.80868,                0.66084,                0.77892,                0.47269,                 1.2712,                0.82777,                 1.0032,               0.001802,               0.001802,               0.001802
                      8,                 1.3534,                0.85016,                0.99588,                 0.7943,                0.69347,                0.81231,                0.51603,                 1.2206,                0.87904,                0.97118,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3374,                0.83505,                0.98715,                0.79692,                0.71329,                0.82001,                0.53039,                 1.1852,                0.77921,                0.96538,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.312,                0.80404,                0.98092,                0.85534,                0.70979,                 0.8341,                0.53839,                 1.1835,                0.78896,                0.96572,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2506,                0.76734,                 0.9728,                0.84705,                0.71002,                0.82067,                0.52938,                 1.1854,                0.82013,                0.97394,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2974,                0.79384,                0.97848,                0.83844,                0.73543,                0.84475,                0.54237,                 1.2068,                 0.7711,                0.96059,               0.001604,               0.001604,               0.001604
                     13,                 1.3172,                0.79929,                0.97558,                0.83534,                0.75058,                0.85007,                0.53878,                 1.2218,                0.75196,                0.96608,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3002,                0.78227,                0.96396,                0.84604,                0.74942,                0.85492,                0.54674,                 1.1764,                0.74237,                0.95178,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3419,                0.77491,                0.97921,                0.83825,                0.76103,                 0.8506,                0.54949,                 1.1871,                0.76417,                0.95856,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2481,                0.74199,                0.95904,                0.87083,                0.73073,                0.84497,                0.54041,                 1.2095,                0.76481,                0.96814,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2025,                0.73779,                0.96487,                0.83719,                0.75515,                 0.8458,                0.55278,                 1.1833,                0.72847,                0.95885,               0.001406,               0.001406,               0.001406
                     18,                 1.2649,                0.74443,                0.97349,                0.82461,                 0.7669,                0.85221,                0.54587,                 1.2192,                0.73233,                 0.9616,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2512,                 0.7195,                0.96549,                0.85284,                0.75175,                0.86042,                0.55689,                 1.1735,                0.74137,                0.95328,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2978,                0.74165,                0.96088,                0.82918,                0.74476,                0.84591,                0.53491,                 1.2135,                0.76298,                0.96834,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2131,                0.73833,                0.96416,                0.81225,                0.76138,                0.85336,                0.55684,                 1.1727,                0.71232,                0.95397,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2173,                0.69862,                0.95324,                0.84703,                0.73427,                0.85432,                0.55124,                 1.1627,                0.71957,                0.95177,               0.001208,               0.001208,               0.001208
                     23,                 1.2186,                0.73573,                0.96113,                0.81262,                0.71562,                0.81042,                0.48665,                 1.2149,                0.75349,                 0.9641,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2424,                0.72151,                0.95546,                0.86703,                0.77516,                 0.8724,                0.56335,                 1.1742,                 0.7192,                0.95399,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1868,                0.68664,                0.93575,                0.84693,                0.78555,                0.87288,                0.57276,                 1.1484,                0.70879,                0.94155,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.2358,                0.70937,                0.95474,                0.85248,                0.78555,                0.87706,                0.58466,                 1.1278,                0.68944,                0.93543,              0.0010496,              0.0010496,              0.0010496
